book_title,genre
The Scarlet Letter,Fiction
Hercule Poirot's Christmas,Fiction
The Big Four,Fiction
Genji monogatari,Fiction
Five Children and It,Fiction
The Hitch Hiker's Guide to the Galaxy,Fiction
Orlando,Fiction
Prince Caspian,Fiction
El túnel,Fiction
Uncle Tom's Cabin,Fiction
Sense and Sensibility,Fiction
Les Misérables,Fiction
The most dangerous game,Fiction
Crooked House,Fiction
Bleak House,Fiction
The Wonderful Wizard of Oz,Fiction
The Handmaid's Tale,Fiction
The Railway Children,Fiction
Rayuela,Fiction
Kinder- und Hausmärchen,Fiction
The Man Who Knew Too Much,Fiction
Sonnenfinsternis,Fiction
El Conde de Montecristo,Fiction
Peter Pan,Fiction
The Secret Garden,Fiction
Записки изъ подполья,Fiction
Dune,Fiction
Du côté de chez Swann,Fiction
Memórias póstumas de Brás Cubas,Fiction
Nemesis,Fiction
Our Mutual Friend,Fiction
Death in the Clouds,Fiction
Persuasion,Fiction
"Tom Sawyer, Detective",Fiction
Five Little Pigs,Fiction
Peril at End House,Fiction
The Great Gatsby,Fiction
The Man Who Was Thursday,Fiction
The Mysterious Affair at Styles,Fiction
Flatland,Fiction
Преступление и наказание,Fiction
Emma,Fiction
Tender is the Night,Fiction
The Return of the King,Fiction
This Side of Paradise,Fiction
Little men,Fiction
La casa de los espíritus,Fiction
Wuthering Heights,Fiction
The princess and the goblin,Fiction
L’étranger,Fiction
A Portrait of the Artist as a Young Man,Fiction
Смерть Ивана Ильича,Fiction
Three Men in a Boat (to say nothing of the dog),Fiction
Hard Times,Fiction
The Hunchback of Notre Dame,Fiction
To the Lighthouse,Fiction
Vingt mille lieues sous les mers,Fiction
King Solomon's Mines,Fiction
Oliver Twist,Fiction
Die Leiden des jungen Werthers,Fiction
Murder in Three Acts,Fiction
The Castle of Otranto,Fiction
Breakfast at Tiffany's,Fiction
Little House in the Big Woods,Fiction
Robin Hood,Fiction
Perfume,Fiction
Frankenstein or The Modern Prometheus,Fiction
David Copperfield,Fiction
Tess of the d'Urbervilles,Fiction
Justine,Fiction
"The Lion, the Witch and the Wardrobe",Fiction
Dracula,Fiction
To Kill a Mockingbird,Fiction
Le petit prince,Fiction
The Murder of Roger Ackroyd,Fiction
The Return of the Native,Fiction
Fahrenheit 451,Fiction
Siddhartha,Fiction
Matilda,Fiction
The Case-Book of Sherlock Holmes,Fiction
Animal Farm,Fiction
Goodnight Moon,Fiction
Xi you ji,Fiction
The Lightning Thief,Fiction
Hong lou meng,Fiction
Schachnovelle,Fiction
Elephants Can Remember,Fiction
Love and Freindship,Fiction
Jude the Obscure,Fiction
The Wind in the Willows,Fiction
The Turn of the Screw,Fiction
La Chute,Fiction
"One, Two, Buckle My Shoe",Fiction
Guess How Much I Love You,Fiction
Northanger Abbey,Fiction
The Grapes of Wrath,Fiction
The Thirty-Nine Steps,Fiction
Die Verwandlung,Fiction
Anne's House of Dreams,Fiction
The Kite Runner,Fiction
The Tale of Peter Rabbit,Fiction
Pippi Långstrump,Fiction
The Island of Dr. Moreau,Fiction
The Call of the Wild,Fiction
À rebours,Fiction
Sleeping Murder,Fiction
Pedro Páramo,Fiction
War and Peace,Fiction
Black Beauty,Fiction
Heidi,Fiction
Jane Eyre,Fiction
Finnegans Wake,Fiction
The Moving Finger,Fiction
And Then There Were None,Fiction
The Pillars of the Earth,Fiction
Memoirs of Sherlock Holmes [11 stories],Fiction
Lolita,Fiction
Brave New World,Fiction
The House of Mirth,Fiction
Of Mice and Men,Fiction
The Two Towers,Fiction
The Hunger Games,Fiction
Evil Under the Sun,Fiction
Отцы и дети,Fiction
The Last of the Mohicans,Fiction
The Lost Symbol,Fiction
The Hobbit,Fiction
A Tale of Two Cities,Fiction
Beloved,Fiction
Hallowe'en Party,Fiction
A Christmas Carol,Fiction
Slaughterhouse-Five,Fiction
Братья Карамазовы,Fiction
Catch-22,Fiction
Mémoires d'Hadrien,Fiction
The Murder at the Vicarage,Fiction
The Da Vinci Code,Fiction
Le avventure di Pinocchio,Fiction
Don Quijote de la Mancha,Fiction
Adventures of Huckleberry Finn,Fiction
Where the Wild Things Are,Fiction
The history of the great plague in London in the year 1665,Fiction
Middlemarch,Fiction
Анна Каренина,Fiction
Доктор Живаго,Fiction
For Whom the Bell Tolls,Fiction
Il nome della rosa,Fiction
El amor en los tiempos del cólera,Fiction
Im Westen nichts Neues,Fiction
Death on the Nile,Fiction
Ozma of Oz,Fiction
Harry Potter and the Chamber of Secrets,Fiction
The Adventures of Tom Sawyer,Fiction
Lady Chatterley's Lover,Fiction
The Lord of the Rings,Fiction
Der Proceß,Fiction
Great Expectations,Fiction
Lord Edgware Dies,Fiction
The Moonstone,Fiction
A Caribbean Mystery,Fiction
Northern Lights,Fiction
Little Women,Fiction
The Old Man and the Sea,Fiction
Lord of the Flies,Fiction
The Voyage of the Dawn Treader,Fiction
We're Going on a Bear Hunt,Fiction
Harry Potter and the Philosopher's Stone,Fiction
The Hound of the Baskervilles,Fiction
Nineteen Eighty-Four,Fiction
Das Schloß,Fiction
Bridge to Terabithia,Fiction
'Salem’s Lot,Fiction
The Spy Who Came in from the Cold,Fiction
Le Tour du Monde en Quatre-Vingts Jours,Fiction
Moby Dick,Fiction
On The Road,Fiction
In Cold Blood,Fiction
The Ugly Duckling,Fiction
Le Morte d'Arthur,Fiction
A Murder Is Announced,Fiction
The Giver,Fiction
Pride and Prejudice,Fiction
The Adventures of Sherlock Holmes [12 stories],Fiction
The Return of Sherlock Holmes,Fiction
Decamerone,Fiction
Gone With the Wind,Fiction
Through the Looking-Glass,Fiction
Charlotte's Web,Fiction
Bambi,Fiction
The Age of Innocence,Fiction
Carrie,Fiction
A Study in Scarlet,Fiction
Fantastic Mr Fox,Fiction
The Catcher in the Rye,Fiction
Lord Jim,Fiction
Harry Potter and the Order of the Phoenix,Fiction
Charlie and the Chocolate Factory,Fiction
Dubliners,Fiction
A Farewell to Arms,Fiction
Madame Bovary,Fiction
The A.B.C. Murders,Fiction
The Good Earth,Fiction
The Jungle,Fiction
Little House on the Prairie,Fiction
Winnie-the-Pooh,Fiction
Harry Potter and the Deathly Hallows,Fiction
Идіотъ,Fiction
Alice's Adventures in Wonderland / Through the Looking Glass,Fiction
The Pilgrim's Progress,Fiction
The Book Thief,Fiction
A Wrinkle in Time,Fiction
Twilight,Fiction
Le rouge et le noir,Fiction
Murder on the Orient Express,Fiction
James and the Giant Peach,Fiction
Catching Fire,Fiction
Angels & Demons,Fiction
Harry Potter and the Half-Blood Prince,Fiction
Harry Potter and the Prisoner of Azkaban,Fiction
Ender's Game,Fiction
The Very Hungry Caterpillar,Fiction
Cien años de soledad,Fiction
50 Fifty Shades of Grey,Fiction
R.U.R. and The insect play,Fiction
O Alquimista,Fiction
Treasure Island,Fiction
"The Complete Sherlock Holmes [4 novels, 56 stories]",Fiction
The BFG,Fiction
Meditations,Fiction
A Clockwork Orange,Fiction
A Game of Thrones,Fiction
The book of the damned,Fiction
The Body in the Library,Fiction
Life of Pi,Fiction
The Night Before Christmas,Fiction
Harry Potter and the Goblet of Fire,Fiction
Gulliver's Travels,Fiction
The Red Badge of Courage,Fiction
The Razor's Edge,Fiction
The Subtle Knife,Fiction
East of Eden,Fiction
Cyrano de Bergerac,Fiction
Utopia,Fiction
The Importance of Being Earnest,Fiction
Heart of Darkness,Fiction
Ἀπολογία Σωκράτους,Fiction
The Curious Incident of the Dog in the Night-Time,Fiction
Hans Andersen's Fairy Tales,Fiction
Les Contes de ma mère l'Oye,Fiction
Down and Out in Paris and London,Fiction
Tarzan of the Apes,Fiction
Candide,Fiction
Alice's Adventures in Wonderland,Fiction
The Alhambra,Fiction
The Canterbury Tales,Fiction
A Room of One's Own,Fiction
Il Paradiso,Fiction
Les confessions,Fiction
Gitanjali (song offerings),Fiction
Salomé,Fiction
Fairy Tales and Stories,Fiction
Ἰλιάς,Fiction
Faerie queene,Fiction
Diary of a Wimpy Kid,Fiction
A Midsummer Night's Dream,Fiction
Twelfth Night,Fiction
Terre des hommes,Fiction
Inferno,Fiction
Essays,Fiction
Misery,Fiction
La Divina Commedia,Fiction
A Doll's House,Fiction
American notes,Fiction
King Lear,Fiction
Life on the Mississippi,Fiction
The Poems of Emily Dickinson Volume II,Fiction
Faust,Fiction
As a man thinketh,Fiction
Much Ado About Nothing,Fiction
Ὀδύσσεια,Fiction
"Works [37 plays, 6 poems, sonnets]",Fiction
Julius Caesar,Fiction
"The Alchemist, 1612",Fiction
The golden bough,Fiction
πολιτεία,Fiction
The Gruffalo,Fiction
A Wonder Book for Girls and Boys,Fiction
The Book of Tea,Fiction
The Color Purple,Fiction
The Tempest,Fiction
Hamlet,Fiction
Incidents in the Life of a Slave Girl,Fiction
कामसूत्र,Fiction
Psychopathia sexualis,Fiction
The Devil's Dictionary,Fiction
Plays (36),Fiction
Walden,Fiction
Metamorphoses,Fiction
Romeo and Juliet,Fiction
Also sprach Zarathustra,Fiction
Winter's Tale,Fiction
All's Well That Ends Well,Fiction
Aeneis,Fiction
King Henry V,Fiction
Othello,Fiction
Antony and Cleopatra,Fiction
Leaves of Grass,Fiction
Tao te Ching,Fiction
The Prophet,Fiction
Macbeth,Fiction
Common Sense,Fiction
Age of fable,Fiction
"Ramayana, a Holy Bible of India",Fiction
A Vindication of Rights of Woman,Fiction
John Donne Poetry,Fiction
Angela's Ashes,Fiction
Ab urbe condita,Fiction
The Prince,Fiction
"The life of Olaudah Equiano, or Gustavus Vassa, the African",Fiction
Confessions,Fiction
Third Girl,Fiction
Narrative of the life of Frederick Douglass,Fiction
Du contrat social,Fiction
The Souls of Black Folk,Fiction
The Taming of the Shrew,Fiction
As You Like It,Fiction
The Autobiography of Benjamin Franklin,Fiction
History,Fiction
Sonnets,Fiction
George's Marvelous Medicine,Fiction
De la démocratie en Amérique,Fiction
The Merchant of Venice,Fiction
The Art of War,Fiction
La sombra del viento,Fiction
La nausée,Fiction
The Clocks,Fiction
Les Robots,Fiction
Crónica de una muerte anunciada,Fiction
The Boy in the Striped Pyjamas,Fiction
Watership Down,Fiction
Foundation,Fiction
Rime of the ancient mariner,Fiction
A town like Alice,Fiction
Vol de nuit,Fiction
The Innocents Abroad,Fiction
Dumb Witness,Fiction
Игрокъ,Fiction
Jamaica Inn,Fiction
Cat Among the Pigeons,Fiction
The Sea-Wolf,Fiction
Dead Man's Folly,Fiction
The House of the Dead,Fiction
Cannery Row,Fiction
"Danny, The Champion of the World",Fiction
Bonjour tristesse,Fiction
The Narrative of Arthur Gordon Pym,Fiction
The Incredible Journey,Fiction
The Shining,Fiction
Murder is Easy,Fiction
The Mammoth Hunters,Fiction
They Came to Baghdad,Fiction
A Pocket Full of Rye,Fiction
It,Fiction
Roughing It,Fiction
Voskresenīe,Fiction
Fables,Fiction
Coraline,Fiction
Amerika,Fiction
The Gunslinger,Fiction
Towards Zero,Fiction
The Firm,Fiction
Jurassic Park,Fiction
Things Fall Apart,Fiction
Artemis Fowl,Fiction
The Thirteen Problems,Fiction
Germinal,Fiction
The Sound and the Fury,Fiction
Rights of Man,Fiction
Death Comes for the Archbishop,Fiction
Deception Point,Fiction
O Pioneers!,Fiction
Tropic of Cancer,Fiction
Shades of Grey,Fiction
The Tenant of Wildfell Hall,Fiction
Why Didn't they Ask Evans?,Fiction
The Colour of Magic,Fiction
Ben Hur,Fiction
"Maria; or, The Wrongs of Woman",Fiction
Pet Sematary,Fiction
Number the Stars,Fiction
The Green Mile,Fiction
The Seven Dials Mystery,Fiction
Белые ночи,Fiction
The Restaurant at the End of the Universe,Fiction
Baron Trump's Marvelous Underground Journey,Fiction
Aesop's Fables,Fiction
Rilla of Ingleside,Fiction
Do Androids Dream of Electric Sheep?,Fiction
Mockingjay,Fiction
The Woodlanders,Fiction
"Mary Shelley's Frankenstein; or, the Modern Prometheus (1818 text)",Fiction
The Clan of the Cave Bear,Fiction
Evelina,Fiction
The Ambassadors,Fiction
Mrs. McGinty's Dead,Fiction
Oresteia,Fiction
The Maltese Falcon,Fiction
The Blind Assassin,Fiction
Death of a Salesman,Fiction
Le Deuxième Sexe,Fiction
Passenger to Frankfurt,Fiction
Breaking Dawn,Fiction
Hickory Dickory Death,Fiction
The Left Hand of Darkness,Fiction
Der Vorleser,Fiction
The Haunted Hotel,Fiction
Anne of Ingleside,Fiction
Brideshead Revisited,Fiction
New Moon,Fiction
Eclipse,Fiction
The Valley of Horses,Fiction
Dom Casmurro,Fiction
Tales from Shakespeare [20 tales],Fiction
Divergent,Fiction
The Dead Zone,Fiction
The Magic World,Fiction
The Screwtape Letters,Fiction
The Sittaford Mystery,Fiction
Our Man in Havana,Fiction
Архипелаг ГУЛАГ,Fiction
Buddenbrooks,Fiction
Bridget Jones's Diary,Fiction
The Boxcar Children,Fiction
A tree grows in Brooklyn,Fiction
Satyricon,Fiction
The House at Pooh Corner,Fiction
The Moon is Down,Fiction
The lovely bones,Fiction
Sad Cypress,Fiction
El coronel no tiene quien le escriba,Fiction
Φαίδων,Fiction
The Life and Adventures of Nicholas Nickleby,Fiction
Eragon,Fiction
Ranma 1/2,Fiction
Papillon,Fiction
The Hunting of the Snark,Fiction
The Kreutzer sonata and other stories,Fiction
Tortilla Flat,Fiction
The well of loneliness,Fiction
The History of Tom Jones,Fiction
Taken at the Flood,Fiction
Five on a Treasure Island,Fiction
Rashomon and other stories,Fiction
Captains Courageous,Fiction
Livro do Desassossego,Fiction
The Cat in the Hat,Fiction
El filibusterismo,Fiction
Kokoro,Fiction
La Fiesta del Chivo,Fiction
Digital Fortress,Fiction
The Book of the Dead,Fiction
Richard III,Fiction
Sapiens,Fiction
"Henry IV, Part 1 **conflated with Henry VI, part 1**",Fiction
Hänsel und Gretel,Fiction
The Agony and the Ecstasy,Fiction
Jacob's Room,Fiction
L'Île mystérieuse,Fiction
The Blithedale Romance,Fiction
The Man in the High Castle,Fiction
The Mysteries of Udolpho,Fiction
Storm Island,Fiction
Fifty Shades Darker,Fiction
Endless Night,Fiction
The Stand,Fiction
The Bridge of San Luis Rey,Fiction
Holes,Fiction
Nostromo,Fiction
A Wizard of Earthsea,Fiction
Little Dorrit,Fiction
The Crucible,Fiction
The Mysterious Stranger,Fiction
The Runaway Jury,Fiction
Agnes Grey,Fiction
Burmese Days,Fiction
Live and let die,Fiction
On the Banks of Plum Creek,Fiction
The Pelican Brief,Fiction
The Amber Spyglass,Fiction
"Brown Bear, Brown Bear, What Do You See?",Fiction
Como agua para chocolate,Fiction
Nine Stories,Fiction
Le mythe de Sisyphe,Fiction
The Once and Future King,Fiction
Cujo,Fiction
Nesnesitelná lehkost bytí,Fiction
Hatchet,Fiction
Reminiscences of a stock operator,Fiction
The moon and sixpence,Fiction
The reluctant dragon,Fiction
The Client,Fiction
The Labours of Hercules,Fiction
Second Foundation,Fiction
Alias Grace,Fiction
Foundation and Empire,Fiction
The  black arrow,Fiction
Stranger in a Strange Land,Fiction
Dog Days,Fiction
John Barleycorn,Fiction
À la recherche du temps perdu,Fiction
The Thorn Birds,Fiction
Interview With the Vampire,Fiction
The French Lieutenant's Woman,Fiction
A Time to Kill,Fiction
Destination Unknown,Fiction
"The Federalist, or, The New Constitution",Fiction
"From Russia, with love",Fiction
Thumbelina,Fiction
The Ugly American,Fiction
I Capture the Castle,Fiction
The Cat of Bubastes,Fiction
The Tragedy of Pudd'nhead Wilson,Fiction
The Magician,Fiction
The Confidence Man,Fiction
Portnoy's Complaint,Fiction
Dragonflight,Fiction
Le Mystère de la Chambre Jaune,Fiction
Ficciones,Fiction
Flowers for Algernon,Fiction
The Fault in Our Stars,Fiction
Witch Wood,Fiction
Travels with Charley,Fiction
At the Back of the North Wind,Fiction
The Mill on the Floss,Fiction
The Rainbow,Fiction
The Lost Princess of Oz,Fiction
The Exorcist,Fiction
The Outsiders,Fiction
The Drawing of the Three,Fiction
Firestarter,Fiction
The Runaway Bunny,Fiction
The Illustrated Man,Fiction
Män som hatar kvinnor,Fiction
The Empty House and Other Ghost Stories,Fiction
The Magic City,Fiction
Solaris,Fiction
Kane & Abel,Fiction
Heretics,Fiction
Cricket in Times Square,Fiction
The Voyages of Doctor Dolittle,Fiction
N or M?,Fiction
Atonement,Fiction
Il pendolo di Foucault,Fiction
Государство и революция,Fiction
A Clash of Kings,Fiction
The Last Days of Pompeii,Fiction
The Dispossessed,Fiction
My Cousin Rachel,Fiction
Schweizerische Robinson,Fiction
The Bad Beginning,Fiction
Один день Ивана Денисовича,Fiction
The Magic Finger,Fiction
The Comedy of Errors,Fiction
Hija de la fortuna,Fiction
Bag of Bones,Fiction
The Chamber,Fiction
Native Son,Fiction
King Richard II,Fiction
A Woman of No Importance,Fiction
The Enchanted April,Fiction
An Old-Fashioned Girl,Fiction
Passing,Fiction
Os Lusíadas,Fiction
Tales of Terror and Mystery,Fiction
Nada,Fiction
The sword in the stone,Fiction
"Right Ho, Jeeves",Fiction
A strange disappearance,Fiction
Madeleine,Fiction
The natural,Fiction
"So long, and thanks for all the fish",Fiction
Airframe,Fiction
Good Omens,Fiction
Memoirs of a Geisha,Fiction
Poema de mio Cid,Fiction
Les 120 Journées de Sodome,Fiction
Flowers in the Attic,Fiction
Frog and Toad Are Friends,Fiction
Bel-Ami,Fiction
Light in August,Fiction
The Partner,Fiction
